City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Anzhero-Sudzhensk,RU,2021-11-08 20:26:39,56.081,86.0285,272.96,79,100,4.92
215,Grindavik,IS,2021-11-08 20:26:39,63.8424,-22.4338,280.12,100,75,6.17
216,Kimbe,PG,2021-11-08 20:26:40,-5.5502,150.1429,297.1,91,7,1.77
217,Lompoc,US,2021-11-08 20:26:40,34.6391,-120.4579,295.76,60,1,2.57
218,Kaduqli,SD,2021-11-08 20:26:41,11.0167,29.7167,300.94,26,15,1.9
219,Pisco,PE,2021-11-08 20:24:58,-13.7,-76.2167,294.18,73,40,4.63
220,Airai,TL,2021-11-08 20:26:41,-8.9266,125.4092,290.12,93,97,0.42
221,Pevek,RU,2021-11-08 20:26:42,69.7008,170.3133,257.72,91,83,2.85
222,Taltal,CL,2021-11-08 20:26:42,-25.4,-70.4833,290.43,69,24,2.41
223,Belaya Gora,RU,2021-11-08 20:26:43,68.5333,146.4167,245.26,100,50,1.47
224,Sao Filipe,CV,2021-11-08 20:26:43,14.8961,-24.4956,298.73,74,100,2.65
225,Rawlins,US,2021-11-08 20:26:43,41.7911,-107.2387,284.46,40,1,4.12
226,Fontaine,FR,2021-11-08 20:26:44,45.1984,5.6827,282.32,87,40,0.45
227,Marsabit,KE,2021-11-08 20:26:44,2.3284,37.9899,296.11,53,33,7.36
228,Ahipara,NZ,2021-11-08 20:26:45,-35.1667,173.1667,290.63,74,1,1.09
229,Padang,ID,2021-11-08 20:26:45,-0.9492,100.3543,298.28,87,99,3.2
230,Esperance,AU,2021-11-08 20:26:45,-33.8667,121.9,287.06,72,100,7.84
231,Constitucion,CL,2021-11-08 20:26:46,-35.3333,-72.4167,290.98,68,53,8.57
232,North Bend,US,2021-11-08 20:26:46,43.4065,-124.2243,285.41,88,1,3.09
233,Qasigiannguit,GL,2021-11-08 20:26:47,68.8193,-51.1922,251.31,73,6,3.0
234,Codajas,BR,2021-11-08 20:27:47,-3.8367,-62.0569,297.54,92,100,0.58
235,Coihaique,CL,2021-11-08 20:27:47,-45.5752,-72.0662,295.49,37,6,1.68
236,Talnakh,RU,2021-11-08 20:27:48,69.4865,88.3972,255.2,99,98,0.8
237,Mayo,US,2021-11-08 20:27:48,38.8876,-76.5119,295.08,47,1,3.13
